MESSAGE_ID,MESSAGE_LOCATION,USER_LOCATION
tag:search.twitter.com,2005:504635849275744256,POINT (-97.0583701 36.1156099)
tag:search.twitter.com,2005:522491895646150656,POINT (-119.7512600 37.2502199)
tag:search.twitter.com,2005:560109697609375747,POINT (-62.9986500 45.0001500)
tag:search.twitter.com,2005:603760989150908416,POINT (-93.0862701 31.7607200)
tag:search.twitter.com,2005:598823874315341824,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:523136883522420736,POINT (-95.3632700 29.7632800)
tag:search.twitter.com,2005:532786213745225728,POINT (37.6155600 55.7522200)
tag:search.twitter.com,2005:727986823000100864,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:499395658655100929,POINT (145.0000000 -37.0000000)
tag:search.twitter.com,2005:614838570055020544,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:637399370552475648,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:486141973426749440,POINT (-90.0750700 29.9546500)
tag:search.twitter.com,2005:635081018911891456,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:601524938135089152,POINT (-117.8504710 33.7790760)
tag:search.twitter.com,2005:725483706442485762,POINT (-83.1218600 41.3503300)
tag:search.twitter.com,2005:564093723550953472,POINT (72.5023701 34.4599300)
tag:search.twitter.com,2005:561856844587892738,POINT (-73.4348399 41.2556501)
tag:search.twitter.com,2005:522389768932716545,POINT (-75.4998999 43.0003500)
tag:search.twitter.com,2005:608017351628316672,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:479031875281756160,POINT (-86.1580400 39.7683800)
tag:search.twitter.com,2005:688637876997877760,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:569249424536428544,POINT (-85.7594100 38.2542401)
tag:search.twitter.com,2005:522377428031647744,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:576068557924147200,POINT (-87.4519801 41.5536501)
tag:search.twitter.com,2005:667854659869126656,POINT (-80.0003200 35.5006900)
tag:search.twitter.com,2005:755066820386750464,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:613153023557132288,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:500589083698409474,POINT (-6.2488901 53.3330600)
tag:search.twitter.com,2005:613842300360208384,POINT (-89.2503700 40.0003200)
tag:search.twitter.com,2005:514240722405322754,POINT (-92.4699001 44.0216300)
tag:search.twitter.com,2005:522383866716520448,POINT (-77.4467499 37.5481200)
tag:search.twitter.com,2005:689996854973571072,POINT (-87.6853299 41.5922599)
tag:search.twitter.com,2005:745208853772402689,POINT (-117.6892200 33.6469700)
tag:search.twitter.com,2005:522390722721222656,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:568187305539866624,POINT (-84.4777201 37.9886900)
tag:search.twitter.com,2005:522408586266566656,POINT (-82.4575901 28.2189000)
tag:search.twitter.com,2005:524658576179343360,POINT (-0.9000000 51.5333300)
tag:search.twitter.com,2005:544824691689803776,POINT (-73.4348399 41.2556501)
tag:search.twitter.com,2005:690199944024735744,POINT (-87.6500500 41.8500300)
